Kullanici,Yildiz,Yorum
Ahmet Y.,5,Ekran kalitesi muazzam ama şarjı çok çabuk bitiyor günde iki kere şarja takıyorum.
Selin T.,2,Kordonu bileğimi terlettiği için iade ettim alerji yaptı resmen.
Burak K.,5,Tam bir fiyat performans ürünü. Kargo da çok hızlıydı teşekkürler.
Cemre M.,3,Adımsayar özelliği bazen yanlış sayıyor ayrıca telefona bağlanırken kopukluklar yaşıyorum.
Kemal S.,4,Uyku takibi özelliği harika çalışıyor. Tek eksiği ekran camının çok çabuk çizilmesi.
Zeynep B.,5,Rengi göründüğünden daha canlı geldi kolda çok şık duruyor.
Ali R.,1,Su geçirmez dediler ama havuzda içine su aldı dokunmatiği bozuldu.
Ayşe N.,4,Bataryası söylendiği kadar iyi değil ama arayüzü çok akıcı kasma yapmıyor.
Ozan E.,5,Sporda nabız ölçümü çok tutarlı Apple Watch'a o kadar para vermeye gerek yok.
Elif D.,2,Mesaj bildirimleri bazen saate düşmüyor yazılımsal bir sorunu var galiba.
Hakan Y.,5,Şarjı 1 hafta gidiyor benim için en önemli şey buydu mükemmel.
Merve A.,3,Menüler arasında gezinirken hafif bir gecikme var ama fiyata göre kabul edilebilir.
Deniz C.,4,Alarm titreşimi çok güçlü sabahları rahatça uyandırıyor sevdim.
Caner T.,1,Kutudan şarj kablosu çıkmadı satıcıya mesaj attım dönmedi rezalet.
Gül B.,5,Hem klasik hem spor kıyafetlerle çok uyumlu bir saat tavsiye ederim.
Abuzer K.,1,2 gün önce yeni saat satın aldım. Elime böyle ulaştı. [Yapay Zeka Görsel Tespiti: Arka planda 'jar' yazılı bir filigran görülmektedir.]
Erdal K.,1,Yeni aldığım saatin kordonu koptu. Üstelik 1 yıl garantisi vardı. [Yapay Zeka Görsel Tespiti: Kordon tokasında belirgin çizikler var.]
Elif E.,1,Hediye telefonum böyle geldi. Ekran kırık  dokunmatik çalışmıyor... [Yapay Zeka Görsel Tespiti: Ekranın tamamında yoğun çatlaklar ve çizikler bulunmaktadır.]
